 
   x        y      r  insky outsky      sky         counts        err     fwhm
------------------------------------------------------------------------------
 
  716.4  1797.9   5.0  10.0  20.0      63.9412  3.38662e+06      0.00000  8.58
  735.9   678.0   5.0  10.0  20.0      35.3043  2.16305e+06      0.00000  6.67
  765.7  1902.7   5.0  10.0  20.0      10.9579      597066.      0.00000  6.33
  788.9   767.6   5.0  10.0  20.0      10.9618      421937.      0.00000  5.46
 1176.0  1995.7   5.0  10.0  20.0      119.797  2.75064e+06      0.00000  6.55
 1202.7   782.2   5.0  10.0  20.0     -1.58378  3.05346e+06      0.00000 -1.00
 2143.4  1469.5   5.0  10.0  20.0      417.394  3.79369e+06      0.00000 10.13
 2158.3     8.5   5.0  10.0  20.0      92.2216  3.17155e+06      0.00000  7.91
 2275.3  2522.9   5.0  10.0  20.0      138.383  2.69761e+06      0.00000  6.63
 2317.4  1455.4   5.0  10.0  20.0      177.402  3.73823e+06      0.00000  9.04
 2317.9   884.8   5.0  10.0  20.0      34.5226  3.71561e+06      0.00000 -1.00
